|Системный номер|Код подразделения|Наименование подразделения|Дата окончания|
 |3801|420-049|ТП УФМС РОССИИ ПО КО В ИЖМОРСКОМ Р-НЕ|07.06.2015|
 |3802|420-049|Миграционный пункт УФМС России по Кемеровской обл. в Ижморском р-не| |
 |3803|420-050|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КО В КЕМЕРОВСКОМ Р-НЕ| |
 |3804|420-051|ТП УФМС РОССИИ ПО КО В КРАПИВИНСКОМ Р-НЕ|07.06.2015|
 |3805|420-051|Миграционный пункт УФМС России по Кемеровской обл. в Крапивинском р-не| |
 |3806|420-051|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КО В КРАПИВИНСКОМ Р-НЕ| |
 |3807|420-052|ТП УФМС РОССИИ ПО КО В ЛЕНИНСКЕ-КУЗНЕЦКОМ Р-НЕ|07.06.2015|
 |3808|420-052|Миграционный пункт УФМС России по Кемеровской обл. в Ленинске-Кузнецком р-не| |
 |3809|420-053|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КО В НОВОКУЗНЕЦКОМ Р-НЕ| |
 |3810|420-054|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КО В ПРОКОПЬЕВСКОМ Р-НЕ| |
 |3811|420-054|ОТДЕЛ УФМС РОССИИ ПО КЕМЕРОВСКОЙ ОБЛ. В ПРОКОПЬЕВСКОМ Р-НЕ| |
 |3812|420-055|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КО В ПРОМЫШЛЕННОВСКОМ Р-НЕ|07.06.2015|
 |3813|420-055|Отдел УФМС России по Кемеровской обл. в Промышленновском р-не( с местом дислокации в пгт. Промышленная)| |
 |3814|420-056|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КО ТИСУЛЬСКОМ Р-НЕ|07.06.2015|
 |3815|420-056|Миграционный пункт УФМС России по Кемеровской обл. в Тисульском р-не| |
 |3816|420-057|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КЕМЕРОВСКОЙ ОБЛ. В ТЯЖИНСКОМ Р-НЕ| |
 |3817|420-058|ТП УФМС РОССИИ ПО КО В ЧЕБУЛИНСКОМ Р-НЕ|07.06.2015|
 |3818|420-058|Отдел УФМС России по Кемеровской области в Чебулинском районе|31.12.2009|
 |3819|420-058|Миграционный пункт УФМС России по Кемеровской обл. в Чебулинском р-не| |
 |3820|420-059|ТП В ЮРГИНСКОМ Р-НЕ ОТДЕЛА УФМС РОССИИ ПО КО В Г.ЮРГА|07.06.2015|
 |3821|420-059|Миграционный пункт в Юргинском р-не Отдела УФМС России по Кемеровской обл. в г. Юрге| |
 |3822|420-059|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КО В ЮРГИНСКОМ Р-НЕ В Г. ЮРГА| |
 |3823|420-060|ТП УФМС РОССИИ ПО КО В ЯЙСКОМ Р-НЕ|07.06.2015|
 |3824|420-060|Миграционный пункт УФМС России по Кемеровской обл. в Яйском р-не( с местом дислокации в пгт. Яя)| |
 |3825|420-061|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КО В ЯШКИНСКОМ Р-НЕ| |
 |3826|420-061|ОТДЕЛ УФМС РОССИИ ПО КЕМЕРОВСКОЙ ОБЛ. В ПГТ. ЯШКИНО| |
 |3827|421-001|ГУВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3828|422-001|ЦЕНТРАЛЬНОЕ РУВД Г. КЕМЕРОВО| |
 |3829|422-002|ЛЕНИНСКИЙ РОВД Г. КЕМЕРОВО| |
 |3830|422-003|ЗАВОДСКИЙ РОВД Г. КЕМЕРОВО| |
 |3831|422-004|КИРОВСКИЙ РОВД Г. КЕМЕРОВО| |
 |3832|422-005|РУДНИЧНЫЙ РОВД Г. КЕМЕРОВО| |
 |3833|422-006|2 ОТДЕЛ МИЛИЦИИ Г. КЕМЕРОВО| |
 |3834|422-007|АНЖЕРО-СУДЖЕНСКИЙ УВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3835|422-008|БЕЛОВСКИЙ УВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3836|422-009|БЕРЕЗОВСКИЙ ГОВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3837|422-010|ОВД г. Гурьевска и Гурьевского р-на района Кемеровской обл.|31.12.2007|
 |3838|422-010|Гурьевский ГРОВД Кемеровской обл.|31.12.2003|
 |3839|422-011|КАЛТАНСКИЙ ГОВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3840|422-012|КИСЕЛЕВСКИЙ ГОВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3841|422-013|ЛЕНИНСК-КУЗНЕЦКОЕ УВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3842|422-014|1 ОТДЕЛ МИЛИЦИИ ЛЕНИНСК-КУЗНЕЦКОГО УВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3843|422-015|2 ОТДЕЛ МИЛИЦИИ ЛЕНИНСК-КУЗНЕЦКОГО УВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3844|422-016|МАРИИНСКИЙ ГРОВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3845|422-017|МЕЖДУРЕЧЕНСКОЕ УВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3846|422-018|МЫСКОВСКИЙ ГОВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3847|422-019|НОВОКУЗНЕЦКОЕ УВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3848|422-020|ЦЕНТРАЛЬНЫЙ РОВД НОВОКУЗНЕЦКОГО УВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3849|422-021|КУЗНЕЦКИЙ РОВД НОВОКУЗНЕЦКОГО УВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3850|422-022|КУЙБЫШЕВСКИЙ РОВД НОВОКУЗНЕЦКОГО УВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3851|422-023|ЗАВОДСКИЙ РОВД НОВОКУЗНЕЦКОГО УВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3852|422-024|ОРДЖОНИКИДЗЕВСКИЙ РОВД НОВОКУЗНЕЦКОГО УВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3853|422-025|1 ОТДЕЛ МИЛИЦИИ НОВОКУЗНЕЦКОГО УВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3854|422-026|НОВОИЛЬИНСКИЙ РОВД НОВОКУЗНЕЦКОГО УВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3855|422-027|ОСИННИКОВСКИЙ ГОВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3856|422-028|ЦЕНТРАЛЬНЫЙ РОВД ПРОКОПЬЕВСКОГО УВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3857|422-029|ЗЕНКОВСКИЙ РОВД ПРОКОПЬЕВСКОГО УВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3858|422-030|РУДНИЧНЫЙ РОВД Г. ПРОКОПЬЕВСКА КЕМЕРОВСКОЙ ОБЛ.| |
 |3859|422-031|ТАЙГИНСКИЙ ГОВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3860|422-031|ОВД Г. ТАЙГИ КЕМЕРОВСКОЙ ОБЛ.| |
 |3861|422-031|ТАЙГА ГРОВД| |
 |3862|422-032|ТАШТАГОЛЬСКИМ ГРОВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3863|422-033|ТОПКИНСКОЕ ГРОВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3864|422-034|ЮРГИНСКИЙ ГОВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3865|422-035|БЕЛОВСКИЙ РОВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3866|422-036|ИЖМОРСКИЙ РОВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3867|422-037|КЕМЕРОВСКИЙ РОВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3868|422-038|КРАПИВИНСКИЙ РОВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3869|422-039|ЛЕНИНСК-КУЗНЕЦКИЙ РОВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3870|422-040|НОВОКУЗНЕЦКИЙ РОВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3871|422-041|ПРОКОПЬЕВСКИЙ РОВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3872|422-042|ПРОМЫШЛЕННОВСКИЙ РОВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3873|422-043|ТИСУЛЬСКИЙ РОВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3874|422-044|ТЯЖИНСКИЙ РОВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3875|422-045|ЧЕБУЛИНСКИЙ РОВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3876|422-046|ЮРГИНСКИЙ РОВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3877|422-047|ЯШКИНСКИЙ РОВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3878|422-048|ЯЙСКИЙ РОВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3879|422-049|ОТДЕЛЕНИЕ № 2 В РУДНИЧНОМ Р-НЕ ОТДЕЛА УФМС РОССИИ ПО КЕМЕРОВСКОЙ ОБЛ. В Г. ПРОКОПЬЕВСКЕ|01.01.2012|
 |3880|422-049|2 ОТДЕЛ МИЛИЦИИ ПРОКОПЬЕВСКОГО УВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3881|422-050|2 ОМ Г. ПРОКОПЬЕВСКА|01.01.2000|
 |3882|422-050|РУДНИЧНЫЙ РОВД ПРОКОПЬЕВСКОГО УВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3883|422-052|1 ОМ ЦЕНТРАЛЬНОГО РОВД НОВОКУЗНЕЦКОГО УВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3884|423-004|2 ОМ БЕЛОВСКОГО УВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3885|423-006|ГРАМОТЕИНСКОЕ ОМ БЕЛОВСКОГО УВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3886|423-006|4 ОМ БЕЛОВСКОГО УВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3887|423-007|КРАСНОБРОДСКОЕ ОМ БЕЛОВСКОГО УВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3888|423-008|БАЧАТСКИЙ ОТДЕЛ МИЛИЦИИ УВД Г. БЕЛОВО КЕМЕРОВСКОЙ ОБЛ.| |
 |3889|423-010|1 ОТДЕЛ МИЛИЦИИ ПРОКОПЬЕВСКОГО УВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3890|423-012|3 ОМ ПРОКОПЬЕВСКОГО УВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3891|423-013|1 ОМ МЫСКОВСКОГО ГОВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3892|423-014|МАЛИНОВСКОЕ ОМ ОСИННИКОВСКОГО ГОВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3893|423-015|1 ОМ ЛЕНИНСК-КУЗНЕЦКОГО УВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3894|423-016|ШЕРЕГЕШСКОЕ ОМ ТАШТАГОЛЬСКОГО ГРОВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3895|423-017|КАЗСКОЕ ОМ ТАШТАГОЛЬСКОГО ГРОВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3896|423-018|МУНДЫБАШСКОЕ ОМ ТАШТАГОЛЬСКОГО ГРОВД КЕМЕРОВСКОЙ ОБЛ.| |
 |3897|430-000|УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ МИГРАЦИОННОЙ СЛУЖБЫ ПО КИРОВСКОЙ ОБЛАСТИ| |
 |3898|430-001|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ГОРОДЕ КОТЕЛЬНИЧЕ| |
 |3899|430-001|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В АРБАЖСКОМ РАЙОНЕ|26.06.2011|
 |3900|430-002|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В АФАНАСЬЕВСКОМ РАЙОНЕ| |
 |3901|430-002|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В АФАНАСЬЕВСКОМ РАЙОНЕ| |
 |3902|430-003|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В БЕЛОХОЛУНИЦКОМ РАЙОНЕ| |
 |3903|430-003|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В БЕЛОХОЛУНИЦКОМ РАЙОНЕ| |
 |3904|430-004|ОТДЕЛ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В ПОС. КУМЕНЫ| |
 |3905|430-004|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ПОСЕЛКЕ УНИ|31.05.2014|
 |3906|430-004|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ПОСЕЛКЕ КУМЕНЫ|26.06.2011|
 |3907|430-004|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В БОГОРОДСКОМ РАЙОНЕ|31.12.2010|
 |3908|430-004|Отдел УФМС России по Кировской области в поселке Кумены| |
 |3909|430-005|ОТДЕЛ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В ВЕРХНЕКАМСКОМ РАЙОНЕ| |
 |3910|430-005|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ВЕРХНЕКАМСКОМ РАЙОНЕ|31.05.2014|
 |3911|430-005|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В ВЕРХНЕКАМСКОМ Р-НЕ| |
 |3912|430-005|Отдел УФМС России по Кировской области в Верхнекамском районе| |
 |3913|430-006|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В ПОС. ОРИЧИ| |
 |3914|430-006|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ВЕРХОШИЖЕМСКОМ РАЙОНЕ|31.05.2014|
 |3915|430-006|Отделение УФМС России по Кировской области в поселке Оричи| |
 |3916|430-007|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ВЯТСКОПОЛЯНСКОМ РАЙОНЕ| |
 |3917|430-008|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ДАРОВСКОМ РАЙОНЕ|31.05.2015|
 |3918|430-008|Миграционный пункт УФМС России по Кировской Области в Даровском районе| |
 |3919|430-009|ОТДЕЛ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В Г. ЗУЕВКА| |
 |3920|430-009|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ЗУЕВСКОМ РАЙОНЕ|31.05.2014|
 |3921|430-009|Миграционный пункт УФМС России по Кировской Области в городе Зуевка| |
 |3922|430-009|Отдел УФМС России по Кировской области в городе Зуевка|31.05.2015|
 |3923|430-010|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В Г. ЯРАНСКЕ| |
 |3924|430-010|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В КИКНУРСКОМ РАЙОНЕ|31.05.2014|
 |3925|430-010|Отделение УФМС России по Кировской области в городе Яранске| |
 |3926|430-011|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В КИЛЬМЕЗСКОМ РАЙОНЕ|31.05.2015|
 |3927|430-011|Миграционный пункт УФМС России по Кировской Области в Кильмезском районе| |
 |3928|430-012|ОТДЕЛ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В КИРОВО-ЧЕПЕЦКОМ РАЙОНЕ| |
 |3929|430-013|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ГОРОДЕ КОТЕЛЬНИЧЕ| |
 |3930|430-013|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В КОТЕЛЬНИЧСКОМ РАЙОНЕ|31.12.2010|
 |3931|430-013|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ГОРОДЕ КОТЕЛЬНИЧЕ| |
 |3932|430-014|ОТДЕЛ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В ПОС. КУМЕНЫ| |
 |3933|430-014|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ПОСЕЛКЕ КУМЕНЫ|31.05.2014|
 |3934|430-014|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В КУМЕНСКОМ РАЙОНЕ|31.12.2010|
 |3935|430-014|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ПОСЕЛКЕ КУМЕНЫ|31.05.2014|
 |3936|430-014|Отдел УФМС России по Кировской области в поселке Кумены| |
 |3937|430-015|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ЛЕБЯЖСКОМ РАЙОНЕ|26.06.2011|
 |3938|430-015|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ГОРОДЕ УРЖУМЕ| |
 |3939|430-015|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ЛЕБЯЖСКОМ РАЙОНЕ|26.06.2011|
 |3940|430-016|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ЛУЗСКОМ РАЙОНЕ| |
 |3941|430-017|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В МАЛМЫЖСКОМ РАЙОНЕ|31.05.2014|
 |3942|430-017|Отдел УФМС России по Кировской области в городе Малмыж| |
 |3943|430-018|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В МУРАШИНСКОМ РАЙОНЕ| |
 |3944|430-019|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В Г. СЛОБОДСКОМ| |
 |3945|430-019|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В НАГОРСКОМ РАЙОНЕ|31.05.2014|
 |3946|430-019|Отделение УФМС России по Кировской области в городе Слободском| |
 |3947|430-020|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В НЕМСКОМ РАЙОНЕ|26.06.2011|
 |3948|430-020|Миграционный пункт УФМС России по Кировской Области в городе Нолинске| |
 |3949|430-020|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ГОРОДЕ НОЛИНСКЕ|31.05.2015|
 |3950|430-021|Миграционный пункт УФМС России по Кировской Области в городе Нолинске| |
 |3951|430-021|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ГОРОДЕ НОЛИНСКЕ|31.05.2015|
 |3952|430-021|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В НОЛИНСКОМ РАЙОНЕ|31.12.2010|
 |3953|430-021|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В НОЛИНСКОМ РАЙОНЕ|31.12.2010|
 |3954|430-022|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ОМУТНИНСКОМ РАЙОНЕ| |
 |3955|430-022|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ОМУТНИНСКОМ РАЙОНЕ| |
 |3956|430-023|Миграционный пункт УФМС России по Кировской Области в Опаринском районе| |
 |3957|430-023|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ОПАРИНСКОМ РАЙОНЕ|31.05.2015|
 |3958|430-024|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В ПОС. ОРИЧИ| |
 |3959|430-024|Отдел УФМС России по Кировской Области в пгт. Оричи| |
 |3960|430-024|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ОРИЧЕВСКОМ РАЙОНЕ|31.12.2010|
 |3961|430-024|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ОРИЧЕВСКОМ РАЙОНЕ|31.05.2014|
 |3962|430-024|Отделение УФМС России по Кировской области в поселке Оричи| |
 |3963|430-025|Миграционный пункт УФМС России по Кировской Области в Орловском районе| |
 |3964|430-025|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ОРЛОВСКОМ РАЙОНЕ|31.05.2015|
 |3965|430-026|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ПИЖАНСКОМ РАЙОНЕ|26.06.2011|
 |3966|430-026|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ГОРОДЕ СОВЕТСКЕ| |
 |3967|430-026|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ПИЖАНСКОМ РАЙОНЕ|26.06.2011|
 |3968|430-027|Миграционный пункт УФМС России по Кировской Области в Подосиновском районе| |
 |3969|430-027|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ПОДОСИНОВСКОМ РАЙОНЕ|31.05.2015|
 |3970|430-028|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В Г. ЯРАНСКЕ| |
 |3971|430-028|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В САНЧУРСКОМ РАЙОНЕ|31.05.2014|
 |3972|430-028|Отделение УФМС России по Кировской области в городе Яранске| |
 |3973|430-029|ТП В ПОС. СВЕЧА ОУФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ГОРОДЕ КОТЕЛЬНИЧЕ|26.06.2011|
 |3974|430-029|ТП УФМС России по Кировской Области в пгт. Ленинское| |
 |3975|430-029|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В СВЕЧИНСКОМ РАЙОНЕ|31.12.2010|
 |3976|430-029|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ПОСЕЛКЕ ЛЕНИНСКОЕ|31.05.2015|
 |3977|430-029|ТП УФМС России по Кировской области в Свечинском районе| |
 |3978|430-029|ТП В ПОС. СВЕЧА ОУФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ГОРОДЕ КОТЕЛЬНИЧЕ|26.06.2011|
 |3979|430-030|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В Г. СЛОБОДСКОМ| |
 |3980|430-030|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В СЛОБОДСКОМ РАЙОНЕ|31.05.2014|
 |3981|430-030|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В СЛОБОДСКОМ РАЙОНЕ|31.05.2014|
 |3982|430-030|Отделение УФМС России по Кировской области в городе Слободском| |
 |3983|430-031|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В СОВЕТСКОМ РАЙОНЕ|26.06.2011|
 |3984|430-031|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ГОРОДЕ СОВЕТСКЕ| |
 |3985|430-031|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В СОВЕТСКОМ РАЙОНЕ|26.06.2011|
 |3986|430-032|ОТДЕЛ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В ПОС. КУМЕНЫ| |
 |3987|430-032|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ГОРОДЕ НОЛИНСКЕ|26.06.2011|
 |3988|430-032|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В СУНСКОМ РАЙОНЕ|31.12.2010|
 |3989|430-032|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ПОСЕЛКЕ КУМЕНЫ|31.05.2014|
 |3990|430-032|Отдел УФМС России по Кировской области в поселке Кумены| |
 |3991|430-033|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ТУЖИНСКОМ РАЙОНЕ|31.12.2010|
 |3992|430-033|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ГОРОДЕ ЯРАНСКЕ|31.05.2014|
 |3993|430-033|ТП УФМС России по Кировской области в Тужинском районе| |
 |3994|430-034|ОТДЕЛ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В ПОС. КУМЕНЫ| |
 |3995|430-034|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В УНИНСКОМ РАЙОНЕ|26.06.2011|
 |3996|430-034|Миграционный пункт УФМС России по Кировской Области в Унинском районе| |
 |3997|430-034|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ПОСЕЛКЕ УНИ|31.05.2015|
 |3998|430-034|ТП УФМС России по Кировской области в Унинском районе| |
 |3999|430-034|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В УНИНСКОМ РАЙОНЕ|26.06.2011|
 |4000|430-035|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В УРЖУМСКОМ РАЙОНЕ|26.06.2011|
 |4001|430-035|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ГОРОДЕ УРЖУМЕ| |
 |4002|430-036|ОТДЕЛ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В Г. ЗУЕВКА| |
 |4003|430-036|Миграционный пункт УФМС России по Кировской Области в Фаленском районе| |
 |4004|430-036|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ФАЛЕНСКОМ РАЙОНЕ|31.05.2015|
 |4005|430-037|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ШАБАЛИНСКОМ РАЙОНЕ|26.06.2011|
 |4006|430-037|ТП УФМС России по Кировской Области в пгт. Ленинское| |
 |4007|430-037|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ПОСЕЛКЕ ЛЕНИНСКОЕ|31.05.2015|
 |4008|430-037|ТП УФМС России по Кировской области в Шабалинском районе| |
 |4009|430-038|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ЮРЬЯНСКОМ РАЙОНЕ| |
 |4010|430-038|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ЮРЬЯНСКОМ РАЙОНЕ| |
 |4011|430-039|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ГОРОДЕ ЯРАНСКЕ| |
 |4012|430-039|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ЯРАНСКОМ РАЙОНЕ|31.12.2010|
 |4013|430-039|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ГОРОДЕ ЯРАНСКЕ| |
 |4014|430-040|ОТДЕЛ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ЛЕНИНСКОМ РАЙОНЕ ГОРОДА КИРОВА| |
